,Unnamed: 0,x,y,r,g,b,Title,Artist,Year,Genre
0,0,0.42615104,3.7237418,0.8725470058120544,0.943063713096817,0.4135411159964852,Arc De Triomphe - Brandt Brauer Frick Remix,"Stimming, Brandt Brauer Frick",2021,MinimalTechno
1,1,-0.38918987,3.9926996,0.8814133486207594,0.91204863627457,0.43138137498942,Da Doo Ron Ron,"The Crystals, La La Brooks",1979,RocknRoll
2,2,9.340948,5.4521017,0.3214359815655747,0.9820137900379082,0.3374360186223382,Back Then,Amoura,2019,Metalcore
3,3,10.254087,2.2943838,0.0568883999799506,0.9355250953950788,0.6947959485508663,Hey Mor,"Ozuna, Feid",2022,Reggaeton
4,4,0.29282275,1.0580043,0.9365837113001494,0.8750207757542903,0.5675577800592542,Phases of the Three Moons,"Andreas Vollenweider, Walter Keiser, Pedro Haldemann, Patrik Demenga",1984,NewAge
5,5,4.867805,1.2864516,0.6032982586950858,0.1395041724405457,0.5174446082681873,Gravestones,BloodThinnerz,2023,Dubstep
6,6,0.3875483,2.0518034,0.912697595558533,0.8603529467893449,0.4103562909386666,Praise Of The Almighty,Hate Eternal,1999,DeathMetal
7,7,9.022942,9.177647,0.4804893421736869,0.965566623262382,0.8917571553253929,Overflow,Hemdale,2002,Grindcore
8,8,7.996638,4.198945,0.3898629904020824,0.7101943005734893,0.4410789474514551,Breathe In,"PRAANA, Klur, Kuala",2023,ProgressiveHouse
9,9,0.40624595,3.6360095,0.9146064749037836,0.8846177632517869,0.3848572227782619,Crocodile Teeth,Skillibeng,2020,Dancehall
10,10,1.078026,5.9128394,0.8102867144363228,0.9191332297239811,0.5417617694726801,Junker's Blues,Champion Jack Dupree,1958,Blues
11,11,5.996153,4.9659753,0.4998477668679474,0.7055605339637313,0.546176808550268,"Nabucco / Act III: Va, pensiero (Pt. 2) [Ed. Roger Parker]","Giuseppe Verdi, Coro Del Teatro Alla Scala Di Milano, Orchestra Del Teatro Alla Scala, Milano, Riccardo Chailly",2023,Opera
12,12,7.0707197,2.3842738,0.4924116024058673,0.5849921878125599,0.3378228199293058,Feeling In The Dark - Remastered,Dwight Twilley Band,2011,PowerPop
13,13,9.44838,6.9724054,0.3186928705187066,0.9721806022971664,0.6509910324139486,Babylon,"Oneohtrix Point Never, Alex G",2018,IDM
14,14,8.140217,8.565205,0.7657081341280498,0.9487273956390836,0.7736939983664372,Hindi Tayo Pwede,The Juans,2018,OPM
15,15,3.7208872,0.80575216,0.8964898445057724,0.9091207693083196,0.4681767138442818,Out Of Focus,Love Battery,1992,Grunge
16,16,3.5555737,6.1573286,0.72065940038567,0.9299200189054772,0.3631840128914741,Coming Home,"Envine, Inverze, Chad Kowal",2018,Hardstyle
17,17,9.046042,3.1149049,0.1770620743977368,0.7717306884180816,0.3587311643588,毒藥,蕭秉治,2022,Mandopop
18,18,0.4153908,6.4254313,0.90732097422829,0.9565584838300352,0.5344275420392379,Perfect Sky,PASSPO☆,2014,JIdol
19,19,-0.11163439,4.9262176,0.913891700970161,0.9470467206780336,0.461539102026726,Desejo de Amar,Eliana de Lima,1991,Pagode
20,20,3.853262,6.4733863,0.6334231630444381,0.9452550044288244,0.4112276760457983,A New Error,Moderat,2009,Electronica
21,21,9.278946,3.7638395,0.2655699231608429,0.7715917851556443,0.3560651296704529,"Janáček: On an Overgrown Path, Book I: No. 7, Good Night!","Leoš Janáček, Bertrand Chamayou",2020,Classical
22,22,8.583083,6.305307,0.2836961424027669,0.8350007672977422,0.4171585827129102,El Ciego (The Blind) - Instrumental,Charlie Haden,2001,Jazz
23,23,0.60673136,3.646526,0.9040977580260852,0.910830701379135,0.5150293289502065,Brothers On The Slide,Cymande,1974,Funk
24,24,4.607668,4.895775,0.7016005562368852,0.7372650843769131,0.4386115309231508,With a Smile (feat. Kelly Badon),"South Border, Kelly Badon",2005,OPM
25,25,10.294043,5.3141418,0.2266441603378013,0.9017934454576968,0.7366514403772849,Fighting (Feat. Lee Young Ji),"BSS, Lee Young Ji",2023,KPop
26,26,0.43317232,6.454315,0.9123767250853596,0.8884472655721042,0.4927590707085443,Nawmal A Lie,Gold Gad,2022,Dancehall
27,27,3.2676523,5.7787037,0.7367096751122467,0.9407136587111616,0.389977583858783,Dancing with Tears in My Eyes,Ultravox,1984,SynthPop
28,28,-1.053625,4.607628,0.931890021712537,0.9779983727578876,0.6341472606367259,單戀這件小事,Gin Lee,2023,Cantopop
29,29,12.2579155,3.9433131,0.0271890928190839,0.9692827834892328,0.8121999671015865,"Rossini: Il barbiere di Siviglia, Act 1: La ran la le ra"" - ""Largo al factotum"" (Figaro)","Gioachino Rossini, Vittorio Gui, Sesto Bruscantini, Royal Philharmonic Orchestra",2002,Opera
30,30,8.84946,8.969438,0.5449319001246744,0.9183945520534784,0.8763822229597543,Thief - Flux Pavilion Remix,"Ookay, Flux Pavilion",2017,EDM
31,31,10.664014,4.0663333,0.1580264027011212,0.9694420855595314,0.5872912929967898,Pause,Serene & Pax,2021,Sleep
32,32,-0.28918535,5.3366833,0.8651120271774393,0.9810831083504588,0.5334677175018822,Honestly?,American Football,1999,Emo
33,33,2.952555,7.0874896,0.7905340030891855,0.9598970838245036,0.636204094934101,La Puerta de Tierra,Joe Quijano,1975,Salsa
34,34,2.3629818,5.469021,0.8291973414567576,0.9323548367436528,0.3685457027573101,The Garden of Eden,Frankie Vaughan,1958,RocknRoll
35,35,7.2529483,6.2063165,0.3426858144695948,0.935974192714092,0.5573452875262835,Perpetual,Leon Bolier,2020,Trance
36,36,9.529755,3.909477,0.2261117775210996,0.9230758808611816,0.3397823982748127,One For the Money,Escape the Fate,2013,Metalcore
37,37,8.356477,8.178177,0.6210177835560454,0.9783033505883668,0.807397314617982,Tight Rope,Leon Russell,1972,Folk
38,38,2.1665504,5.466386,0.8629382876652254,0.9477461783140644,0.552807142752185,It's Yours - Kyri Markou Remix,"Jon Cutler, E-Man, Kyri Markou",2022,DeepHouse
39,39,-0.11706276,2.417511,0.9373787368426524,0.9515095639180898,0.5599730521112369,乙女のポリシー,"Yoko Ishida, Earphones",2016,Anime
