,0
0,MinimalTechno
1,RocknRoll
2,Metalcore
3,Reggaeton
4,NewAge
5,Dubstep
6,DeathMetal
7,Grindcore
8,ProgressiveHouse
9,Dancehall
10,Blues
11,Opera
12,PowerPop
13,IDM
14,OPM
15,Grunge
16,Hardstyle
17,Mandopop
18,JIdol
19,Pagode
20,Electronica
21,Classical
22,Jazz
23,Funk
24,KPop
25,SynthPop
26,Cantopop
27,EDM
28,Sleep
29,Emo
30,Salsa
31,Trance
32,Folk
33,DeepHouse
34,Anime
35,Afrobeat
36,Rock
37,House
38,Forro
39,Gospel
40,BlackMetal
41,PunkRock
42,Samba
43,ChicagoHouse
44,Industrial
45,Metal
46,Disco
47,Techno
48,Soul
49,Sertanejo
50,JRock
51,HardRock
52,Reggae
53,Electro
54,Pop
55,Bossanova
56,RnB
57,Goth
58,Country
59,IndiePop
60,MPB
61,AltRock
62,PsychRock
63,Ambient
64,DetroitTechno
65,Breakbeat
66,JPop
67,Bluegrass
68,Rockabilly
69,HipHop
70,Tango
71,DrumAndBass
72,Ska
73,TripHop
74,HonkyTonk
